for,clave_de_mapa,numero_historico,proyecto,nombre_analisis,estatus_analisis,gerencia,gerencias_complementaria,responsable_tecnico_y_participantes,tematica_principal_LGAHOTDU,tematicas_secundarias_LGAHOTDU,tipo_analisis,Otros,insumos consultados,Fuente,Tipo de información,estadistica,nota_metodologica,liga_drive,Image id,Ficha,Buscar,color
21-ene-17,I-015,1,,Reservas territoriales y cobertura de agua potable,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1FuUwFFw5emXea3QDPEX2rMh9geXpjMRx,,,,
,I-016,1,POTmet,Topografía,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Base,,,,,,,https://drive.google.com/open?id=10KgGwbjbXV6GusukUq3ePo7cKLpo0S88,,,,
,I-017,1,POTmet,Uso del suelo y vegetación,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Base,,,,,,,https://drive.google.com/open?id=17SdJs3oU7720ry_TjpnqEYMs5I_tLTDk,,,,
22-ene-17,I-018,1,POTmet,Geología,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Base,,,,,,,https://drive.google.com/open?id=1RpmeIt6mG3YSMHogWh0yCmSDopiDGd0z,,,,
23-ene-17,I-019,1,POTmet,Clima,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PRE,,Base,,,,,,,https://drive.google.com/open?id=1mLRFniu5JCJ05_E-zOB5iIY99y94vlsl,,,,
24-ene-17,I-020,1,POTmet,Edafología,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PRE,,Base,,,,,,,https://drive.google.com/open?id=1ALXPupf2Z8UXLyefwFrIwfS7Oo10WjeK,,,,
25-ene-17,I-021,1,POTmet,Fisiografía,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Base,,,,,,,https://drive.google.com/open?id=1zXT30BTrlaCmPdsgmdai3XTplssZGbTJ,,,,
,I-022,1,POTmet,Sistema urbano rural-centros de población,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Base,,,,,,,https://drive.google.com/open?id=1zXT30BTrlaCmPdsgmdai3XTplssZGbTJ,,,,
26-ene-17,I-023,1,POTmet,Índice de conectividad con estructura primaria de urbanización,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,IVT,,Base,,,,,,,https://drive.google.com/open?id=1gHh3gDPgEYA9QMECX-hbatzgjIZITpGJ,,,,
27-ene-17,I-024,1,POTmet,Pendiente del terreno ,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PRE,,Base,,,,,,,https://drive.google.com/open?id=1_1oG5yCgJceqYox3__E11X1X1-efiDNF,,,,
28-ene-17,I-025,1,POTmet,Índice de valor ecosistémico ,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PRE,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1_1oG5yCgJceqYox3__E11X1X1-efiDNF,,,,
23-feb-21,I-026,2,POTmet,INFRAESTRUCTURA BÁSICA (ENERGÍA Y RESIDUOS),Validado,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc Aquiles,PMR,GIA,Diagnóstico,,,,,https://drive.google.com/file/d/1V-840ZdyiwXqhacy4z2yUrU9v09b6dao/view?usp=sharing,https://drive.google.com/file/d/1QmAJydAkpby_9Atqu2QvnqwXomsMXhR4/view?usp=sharing,https://drive.google.com/file/d/1M2WC1CccQq0enFruIKRmce8f-BC5-9iQ/view?usp=sharing,,,,
