for,clave_de_mapa,numero_historico,proyecto,nombre_analisis,estatus_analisis,gerencia,gerencias_complementaria,responsable_tecnico_y_participantes,tematica_principal_LGAHOTDU,tematicas_secundarias_LGAHOTDU,tipo_analisis,Otros,insumos consultados,Fuente,Tipo de información,estadistica,nota_metodologica,liga_drive,Image id,Ficha,Buscar,color
22/04/2021,I-729.2,1,Atlas de Riesgos,MAPA DE PRIORIZACIÓN DE LOS SITIOS RECURRENTES DE INUNDACIÓN DEL AMG 2021,Validado,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtemoc Aquiles,PMR,,Estrategia,,Sitios recurrentes de inundación 2020 - 2021,Sitios recurrentes de inundación 2020 - 2021,Pública,https://drive.google.com/file/d/1dT6q1Yeg8ezBagxdGuaKYpLEa_sEf3BL/view?usp=sharing,https://drive.google.com/file/d/1k-DnsH1qnxo-k_uKu4fkQjRcnFcDTjSG/view?usp=sharing,https://drive.google.com/file/d/1FGkvcjXfoKtTAFmsAIs3EhuVvuKQFUc0/view?usp=sharing,,,,
03-abr-20,I-730.1,1,POTmet,ESTUDIO CMET-05 - MAPA ANEXO 1 LOCALIZACIÓN DEL POLÍGONO DE ESTUDIO EN EL SALTO Y RUTAS DE TRANSPORTE PÚBLICO,En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,No se encontro,,,,,,https://drive.google.com/open?id=1oNzeR3m2hJxPKT_sVo2sBl2vzeZKETsf,,,,
03-abr-20,I-730.2,1,POTmet,ESTUDIO CMET-05 - MAPA ANEXO 2 COBERTURA DE RUTAS DE TRANSPORTE PÚBLICO EN EL POLÍGONO DE ESTUDIO GALAXIA BONITO JALISCO (EL SALTO),En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,No se encontro,,,,,,https://drive.google.com/open?id=1wdlT3o2pVPnvxx9pGC1uhRM3sSjavEX1,,,,
03-abr-20,I-730.3,1,POTmet,ESTUDIO CMET-05 - MAPA ANEXO 3 RECORRIDOS Y PUNTOS DE PARADA DE TRANSPORTE PÚBLICO EN EL POLÍGONO DE ESTUDIO GALAXIA BONITO JALISCO (EL SALTO),En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,No se encontro,,,,,,https://drive.google.com/open?id=1w_cMob5AVMUZMDaPKOSOqJy5a2M3kSC0,,,,
03-abr-20,I-730.4,1,POTmet,ESTUDIO CMET-05 - MAPA ANEXO 4 LOCALIZACIÓN DE PUNTOS DE ASCENSO Y DESCENSO EN EL POLÍGONO DE ESTUDIO GALAXIA BONITO JALISCO (EL SALTO),En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,No se encontro,,,,,,https://drive.google.com/open?id=13P8NByTYRwS0r4hJIrk4J7Pnhaz2kOo9,,,,
04-abr-20,I-730.5,1,POTmet,ESTUDIO CMET-05 - MAPA ANEXO 5 DERROTEROS DE LA RUTA 1 EN EL POLIGONO DE ESTUDIO GALAXIA BONITO JALISCO (EL SALTO),En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1mq4yHX_6xY7Av4E6AqBwkP1ytnWy1ow5,,,,
05-abr-20,I-731,1,POTmet,PREDIOS BENEFICIADOS POR PAGO POR SERVICIOS AMBIENTALES DEL AÑO 2015 AL 2019 EN AMG,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Jennifer Zambrano,PRE,POT,Diagnóstico,,,,,,,https://drive.google.com/open?id=1RpVLppq6vjpDNlHSlVjWrlB8VWL9gKdC,,,,
13-abr-20,I-732,1,POTmet,LÍMITE Y COLINDANCIAS TERRITORIALES DEL MUNICIPIO DE TALA: RESULTADO DE GRUPO DE TRABAJO TÉCNICO.,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alicia Guzmán Aguilera,POT,POT,Diagnóstico,No se encontro,,,,,https://drive.google.com/file/d/1yI-LX5u_DcjeY1GgxrnOMVnJ4pTWgKgw/view?usp=sharing,https://drive.google.com/file/d/1d8nh_jwedTh__jZ4DSMXxuH1yIkWZZK-/view?usp=sharing,,,,
16-abr-20,I-733,1,POTmet,LÍMITE Y COLINDANCIAS DEL MUNICIPIO DE EL SALTO: RESULTADO PRELIMINAR DE GRUPO DE TRABAJO,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alicia Guzmán Aguilera,POT,POT,Diagnóstico,No se encontro,,,,,https://drive.google.com/open?id=1-JUEk_oYKXhi9RGPN84RUB0cbZ-P7F8s,https://drive.google.com/open?id=1IC7k-ZRVavqu5ml7kH3brwF3v5AZOANd,,,,
16-abr-20,I-734,1,POTmet,ESTUDIO CMET-30 MAPA ANEXO 1 SOLICITUD DE VIAS DE INGRESO CON PARADA EN TRAMO ESTATAL CARR. FEDERAL 54 A. SALTILLO (APROBACIÓN DE PARADAS DE ASCENSO Y DESCENSO),En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,No se encontro,,,,,https://drive.google.com/open?id=1y7Qtq-LX9XQMdlYXVql7DUCr3dMIqd60,https://drive.google.com/open?id=1RXBDDHhZCrjIyAc762hgaoCOSBkF6SyR,,,,
16-abr-20,I-735,1,POTmet,ESTUDIO CMET-33 MAPA ANEXO 1 SOLICITUD DE VÍAS DE INGRESO CON PARADA NEXTIPAC - PLAZA PATRIA (APROBACIÓN DE PARADAS DE ASCENSO Y DESCENSO),En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,No se encontro,,,,,https://drive.google.com/open?id=1hU-FEmxaUI6yNZLcefPfiZnv4PHGxwMS,https://drive.google.com/open?id=1Jgop9kLRPdiG7DO2r7iLP-u4_aWSlbal,,,,
16-abr-20,I-736.1,1,POTmet,ESTUDIO CMET-08 - MAPA ANEXO 1 LOCALIZACIÓN DEL POLÍGONO DE ESTUDIO EN JUANACATLÁN Y RUTAS DE TRANSPORTE PÚBLICO,En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,No se encontro,,,,,https://drive.google.com/open?id=1JFNbKqlGl0nEN3jKOiawvH-gtvTC-YV4,https://drive.google.com/open?id=1mHfi-zXyMNZBYZZm3HUAmP2IpVtOCzS3,,,,
16-abr-20,I-736.2,1,POTmet,ESTUDIO CMET-08 - MAPA ANEXO 2 COBERTURA DE RUTAS DE TRANSPORTE PÚBLICO EN EL POLÍGONO DE ESTUDIO VILLAS ANDALUCÍA (JUANACATLÁN),En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,No se encontro,,,,,https://drive.google.com/open?id=1f4iZrMpI3cSSWLzlh7lQEARAVp1ajurG,https://drive.google.com/open?id=1iRhZHYAZReqtW-bBw_5ADBPOoLJc4gkQ,,,,
16-abr-20,I-736.3,1,POTmet,ESTUDIO CMET-08 - MAPA ANEXO 3 RECORRIDOS Y PUNTOS DE PARADA DE TRANSPORTE PÚBLICO EN EL POLÍGONO DE ESTUDIO VILLAS ANDALUCÍA (JUANACATLÁN),En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,No se encontro,,,,,https://drive.google.com/open?id=1f-4pDU7lOSM0_74JoizEZQYKqFLb4awu,https://drive.google.com/open?id=1OgwVX-GMSGoWJpTVPLYXBAvSfTGCGh-O,,,,
16-abr-20,I-736.4,1,POTmet,ESTUDIO CMET-08 - MAPA ANEXO 4 LOCALIZACIÓN DE PUNTOS DE ASCENSO Y DESCENSO EN EL POLÍGONO DE ESTUDIO VILLAS ANDALUCÍA (JUANACATLÁN),En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,No se encontro,,,,,https://drive.google.com/open?id=1up9FoqMRaUCyEJExD0dxShTdUc9b36-H,https://drive.google.com/open?id=1V4PuciK4vUkO_ykk1x8szckbRDK52mqE,,,,
27-abr-20,I-736.5,1,POTmet,ESTUDIO CMET-08 - MAPA ANEXO 5 PROPUESTA DE MODIFICACIÓN DEL DERROTERO RUTA 180-B FARO EN EL POLÍGONO DE ESTUDIO VILLAS ANDALUCÍA (JUANACATLÁN),En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,,,,,,https://drive.google.com/open?id=1RPKqKymxbR1nk8ZNL-eaa-G3aCv2UBdA,https://drive.google.com/open?id=1NxxeQJRRxWa3FnI0dpvLLJgQI6jo_srD,,,,
16-abr-20,I-737,1,POTmet,PROPUESTA REGIÓN METROPOLITANA CRITERIO SUBCUENCAS,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Jennifer Zambrano,POT,PRE,Diagnóstico,,,"Hidrología INEGI, 2010",,https://drive.google.com/open?id=17NP6FLgV8hiZS8IgcSGcfWol4wfnbXImFAbLe_UlojE,https://drive.google.com/open?id=1G9rd5w_cGVeCL4P2Zhh9OgXbiaoWrWjn5-_nwesqSQY,https://drive.google.com/open?id=13q3hWoHu3avp7Fu1Zh1mJ_7PywdOmgEt,,,,
23-abr-20,I-737.1,1,POTmet,PROPUESTA REGIÓN METROPOLITANA CRITERIO ECOSISTEMAS,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Jennifer Zambrano,POT,PRE,Diagnóstico,,,Cobertura de suelo de México a 30m CONABIO  2015,,https://drive.google.com/open?id=1FXg8nlSEUvrXIatypW9DZoOVjGjf9BdZ_ATolwXXD9k,https://drive.google.com/open?id=158prHtzEc3Niwk9eTSxXQ9eBtt25b75_XRWMqev9p6w,https://drive.google.com/open?id=1P0MdoFfXitaRPZk5NfPf42XYzOoi1y2a,,,,
23-abr-20,I-737.2,1,POTmet,PROPUESTA REGIÓN METROPOLITANA CRITERIO AGRICULTURA,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Jennifer Zambrano,POT,PRE,Diagnóstico,,,Capa de Uso de Suelo y Vegetación INEGI 2017,,https://drive.google.com/open?id=1Kf5DhREjRWj5IYCODaH5HXkLnLoTqON2T-QVXf9n2DI,https://drive.google.com/open?id=1novgjMYQNr0fcoGcGde-WR59xzxeNpqbAqLUyRHRtDU,https://drive.google.com/open?id=13jAaOlIWBhf0nONKaqFJatRdxjPfS6dK,,,,
17-abr-20,I-738.0,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE ZAPOTLANEJO",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=1vOlmPlpyOFtUdfkRIZgU_kwZSbqkjLDu,,,,
17-abr-20,I-738.1,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE ZAPOTLANEJO",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=1-eSEshU0rISfCxRyzZjIM0MFusu8VMEY,,,,
17-abr-20,I-738.2,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE ZAPOTLANEJO",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=1cAhnCq7lKphjbbJjWwLD-CUQb_wqTjQu,,,,
17-abr-20,I-738.3,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE ZAPOPAN",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=1rO6LI1DyiYbMWSDrWCV82jSZQ8pHcCQC,,,,
17-abr-20,I-738.4,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE ZAPOPAN",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=1RNkdtePXvnbZf_UyEvuci_GDyvKstXlG,,,,
17-abr-20,I-738.5,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE ZAPOPAN",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=1WqgSVKMkvaR-NqNrkbYaleZc4CO1NltC,,,,
17-abr-20,I-738.6,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE TONALÁ",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=1Q6ZAJTkxWytfPxTQo-xtDrp3fi6YMxgD,,,,
17-abr-20,I-738.7,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE TONALÁ",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=1PCiUDmKmazQYaE2KUTVuzR56lrz7VMWx,,,,
17-abr-20,I-738.8,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE TLAQUEPAQUE",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=13PcoUAxTdCvrJbAFywF5o8KBDmmKH8od,,,,
17-abr-20,I-738.9,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE TLAQUEPAQUE",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=1yaQQZnHUmoYKfQWK0hBHrcadUTUxYoBS,,,,
17-abr-20,I-738.10,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=1LTiw1DjhPVgJ4Ov9e6Z-Lk3DYic9-RjE,,,,
17-abr-20,I-738.11,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=1qjj1okZEz4VuHJ0Bf2a2Q_9F3NhmauU_,,,,
17-abr-20,I-738.12,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=1rAiNlUiIpDkqwZDehsHe0lQSuk6CZ2ff,,,,
17-abr-20,I-738.13,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=1oV-LFDsAX0qQyNNFVGVtmdkzD1yWRKcp,,,,
17-abr-20,I-738.14,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE IXTLAHUACÁN DELOS MEMBRILLOS",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=1fRmgc_nXH3yQkbZe0RKiMjZWFqVtVlki,,,,
17-abr-20,I-738.15,1,POTmet,"INVASIÓN A CAUCES  y CUERPOS DE AGUA EN EL 
MUNICIPIO DE EL SALTO",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=1mRlQEiKBEOBHzjQTqy4zjVQtcLL--mMX,,,,
17-abr-20,I-738.16,1,POTmet,INVASIÓN DE CAUCES Y CUERPOS DE AGUA,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alejandro Lepe,POT,GIA,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1dGBoMIjCTAfD0Ns7nYqfE4DXAjCmOGFQayBQfwdNKfw/edit?usp=sharing,https://docs.google.com/document/d/1O4OT-iAM-uFqAxNONdD1idC4qXcJgRnrC6do35D3DlI/edit?usp=sharing,https://drive.google.com/open?id=17fCocyKpssnrlgucUnhg6_PQpj4g3fOB,,,,
25-ago-20,I-738.17,1,POTmet,"INVASIÓN A CAUCES  Y CUERPOS DE AGUA EN EL 
MUNICIPIO DE ZAPOPAN, PRESA SANTA LUCÍA",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alicia Guzmán,POT,,Diagnóstico,,,,,,,,,,,
25-ago-20,I-738.18,1,POTmet,"INVASIÓN A CAUCES  Y CUERPOS DE AGUA EN EL 
MUNICIPIO DE ZAPOPAN, ARROYO GARABATOS",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,,,,,,,,,,,,,,
23-abr-20,I-739,1,POTmet,RUTAS TRONCALES Y COMPLEMENTARIAS LICITADAS SEGÚN EL PERIÓDICO OFICIAL EL ESTADO DE JALISCO 18/04/2020,En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,No se encontro,,,,,https://drive.google.com/open?id=1z51TzbuDRFSuo6coaxqkczd9xpjBmH3C,https://drive.google.com/open?id=15eOzaOGgfYEFgv0u-nHmxMiB3azoR0Ym,,,,
23-abr-20,I-740,1,POTmet,ESTUDIO CMET-01 - MAPA ANEXO 1 COBERTURA DE RUTAS DE TRANSPORTE PÚBLICO EN EL POLÍGONO DE ESTUDIO PALERMO (ZAPOPAN),En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,No se encontro,,,,,https://drive.google.com/open?id=1YZafH7KtI1-EqyjtuJ5AdtibCAe_SKvX,https://drive.google.com/open?id=1LZl5cZbDWy4yyiFqKZ4RtXZORGbLrVkU,,,,
23-abr-20,I-741,1,POTmet,ESTUDIO CMET-44 MODIFICACIÓN DE DERROTERO DE LA RUTA COMPLEMENTARIA 29,En proceso,(GTM) Gerencia Técnica de Movilidad.,,José Luis Plascencia,IVT,,Diagnóstico,No se encontro,,,,,https://drive.google.com/open?id=1UnLuyOc88XB346F9G9PdwnUB2yi-Cclf,https://drive.google.com/open?id=15deL_onSJ4EtWEpj9TSI0IgeDWf_ufJs,,,,
24-abr-20,I-742,1,POTmet,LÍMITE Y COLINDANCIAS TERRITORIALES DEL MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA: RESULTADO PRELIMINAR DEL GRUPO DE TRABAJO TÉCNICO,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Alicia Guzmán Aguilera,POT,,Diagnóstico,No se encontro,,,,,https://drive.google.com/open?id=1FvD56ow-GofCVopweVHFY_zsnQZIqlLu,https://drive.google.com/file/d/1bj_-xEF_w2UZgXYezOgy-MTgr6XwITe1/view?usp=sharing,,,,
19-abr-21,I-743,1,Atlas de Riesgos,MAPA DE EVENTOS HISTÓRICOS DE INUNDACIONES DEL MUNICIPIO DE ZAPOTLANEJO 2021,Validado,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc Aquiles,PMR,,Diagnóstico,,"Inventario de Peligros Metropolitano al 2020
Sitios de monitoreo de inundación 2020 - 2021","Inventario de Peligros Metropolitano al 2020
Sitios de monitoreo de inundación 2020 - 2021",,https://drive.google.com/file/d/1vvQQVhmBgq4PNgpo7YIVBoBMz87vIAnB/view?usp=sharing,https://drive.google.com/file/d/1cz35AnBo6qBO5WH7QDCzU3Dw3api7yom/view?usp=sharing,https://drive.google.com/file/d/1U3FRpjVMvW7VkTOoMCKlYawB6vvrIrfB/view?usp=sharing,,,,
28-abr-20,I-744,1,POTmet,REVISIÓN DE LÍMITES TERRITORIALES PROPUESTOS CON RELACIÓN AL REGISTRO AGRARIO NACIONAL (RAN),En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,"Alicia Guzmán Aguilera, Christian Aguilar",POT,,Diagnóstico,,,,,,https://drive.google.com/open?id=1_aL522q6oyZSLoh8z_4w4SSL-ZZibCHv,https://drive.google.com/file/d/1KdO8hkSqYnd4J2UBCvqcow79g6oeA_3h/view?usp=sharing,,,,
29-abr-20,I-745.1,1,POTmet,CANTIDAD DE UNIDADES ECONÓMICAS DEDICADAS A LA PROVISIÓN DE SERVICIOS DE TRANSPORTE Y LOGÍSTICA EN EL AMG,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Victoria Estrada,POT,IVT,Diagnóstico,,,,,https://drive.google.com/open?id=1MWMiHQkOEX8X-xjdiJLqvUC-PPPGe-KSBYdf4waJ3qM,https://drive.google.com/open?id=1WOwigmuVP5bc58CoUGuu0qrckOIHVLfX-ThdJvacsXc,https://drive.google.com/open?id=1uH_1b9gGB38E0ZxFKxzut03G70RobkYf,,,,
29-abr-20,I-745.2,1,POTmet,TIPO DE CONCENTRACIÓN DE UNIDADES ECONÓMICAS DEDICADAS A LA PROVISIÓN DE SERVICIOS DE TRANSPORTE Y LOGÍSTICA EN EL AMG,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Victoria Estrada,POT,IVT,Diagnóstico,,,,,https://drive.google.com/open?id=1MWMiHQkOEX8X-xjdiJLqvUC-PPPGe-KSBYdf4waJ3qM,https://drive.google.com/open?id=1WOwigmuVP5bc58CoUGuu0qrckOIHVLfX-ThdJvacsXc,https://drive.google.com/open?id=15K-fPOez0b4nJcKUO3VCm-MEY-KoFrlD,,,,
